epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1011.73,0.55541,0.72231,1.18897,0.79762,0.60786,0.62955,0.43446,0.75871,1.50608,1.00924,0.00900844,0.00900844,0.00900844
43,1487.52,0.55485,0.72141,1.1886,0.79804,0.61052,0.62964,0.43423,0.75827,1.53482,1.00853,0.00896127,0.00896127,0.00896127
44,1963.11,0.55623,0.7244,1.18941,0.79819,0.6074,0.63008,0.43491,0.75819,1.53857,1.00794,0.00891313,0.00891313,0.00891313
45,2438.33,0.55358,0.72228,1.18746,0.80104,0.60538,0.62986,0.43458,0.75695,1.53873,1.0061,0.00886404,0.00886404,0.00886404
46,2915.55,0.55373,0.7198,1.18723,0.799,0.60569,0.62966,0.43489,0.75641,1.5472,1.00548,0.00881401,0.00881401,0.00881401
47,3390.4,0.55508,0.72051,1.18746,0.79985,0.6053,0.62917,0.43568,0.75518,1.54594,1.00415,0.00876305,0.00876305,0.00876305
48,3866.57,0.55113,0.71433,1.18517,0.79748,0.6074,0.62867,0.43584,0.7532,1.54661,1.00192,0.00871117,0.00871117,0.00871117
49,4346.7,0.55026,0.71503,1.18513,0.79775,0.60899,0.62916,0.43626,0.75127,1.51727,0.99914,0.00865839,0.00865839,0.00865839
50,4821.51,0.55161,0.71109,1.18513,0.80911,0.60502,0.62948,0.43684,0.75048,1.49469,0.99868,0.00860473,0.00860473,0.00860473
51,5296.14,0.54856,0.71301,1.18571,0.80195,0.60723,0.62909,0.4371,0.74935,1.49341,0.99776,0.00855018,0.00855018,0.00855018
52,5771.95,0.54932,0.71234,1.18581,0.79543,0.61173,0.62916,0.4372,0.74809,1.47013,0.99701,0.00849477,0.00849477,0.00849477
53,6248.34,0.54946,0.71291,1.18491,0.79806,0.61064,0.6291,0.43674,0.74761,1.44767,0.9967,0.00843851,0.00843851,0.00843851
54,6730.97,0.54876,0.71042,1.1827,0.8009,0.60662,0.6294,0.43748,0.74548,1.43675,0.99489,0.00838141,0.00838141,0.00838141
55,7210.43,0.5465,0.70835,1.18318,0.79974,0.60779,0.62976,0.43736,0.74523,1.43228,0.99446,0.00832349,0.00832349,0.00832349
56,7704.37,0.54408,0.7072,1.18069,0.80159,0.60701,0.63046,0.43874,0.74341,1.4216,0.99267,0.00826477,0.00826477,0.00826477
57,8193.88,0.54488,0.70626,1.18214,0.80074,0.6076,0.63073,0.43864,0.74336,1.39035,0.9925,0.00820525,0.00820525,0.00820525
58,8676.06,0.54427,0.70291,1.18076,0.79881,0.61033,0.62979,0.4382,0.74242,1.36704,0.99212,0.00814495,0.00814495,0.00814495
59,9163.72,0.5452,0.70181,1.18119,0.80179,0.60932,0.62937,0.43854,0.74229,1.33265,0.99259,0.00808389,0.00808389,0.00808389
60,9655.63,0.54388,0.69992,1.18126,0.80266,0.6072,0.6291,0.43842,0.74287,1.30017,0.99374,0.00802208,0.00802208,0.00802208
61,10149.4,0.5423,0.70094,1.17975,0.80585,0.60425,0.62853,0.43847,0.74295,1.28495,0.99398,0.00795954,0.00795954,0.00795954
62,10632.1,0.54501,0.70129,1.18076,0.80338,0.60418,0.62827,0.43872,0.74366,1.25703,0.99483,0.00789628,0.00789628,0.00789628
