epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,941.97,0.72416,1.23875,1.36913,0.55503,0.39548,0.3615,0.22113,0.89347,32.9279,1.21024,0.00333027,0.00333027,0.00333027
2,1860.62,0.65656,0.88601,1.27646,0.73431,0.28669,0.32519,0.2047,0.80925,31.438,1.1063,0.00666354,0.00666354,0.00666354
3,2778.8,0.68885,0.95694,1.30016,0.61346,0.26554,0.27173,0.16242,0.94134,10.8954,1.25759,0.00999655,0.00999655,0.00999655
4,3696.23,0.66749,0.93875,1.28582,0.64585,0.3471,0.34602,0.21005,0.84381,25.6945,1.07735,0.00999912,0.00999912,0.00999912
5,4612.5,0.62498,0.86873,1.25311,0.67647,0.40245,0.43216,0.27838,0.78999,6.53968,1.03368,0.00999844,0.00999844,0.00999844
6,5527.2,inf,0.8289,1.23586,0.69453,0.48084,0.47751,0.30379,0.78305,6.41784,1.01822,0.00999756,0.00999756,0.00999756
7,6441.8,0.58951,0.80519,1.22458,0.72367,0.51915,0.52923,0.34692,0.73694,4.25093,0.964,0.00999648,0.00999648,0.00999648
8,7355.36,0.58091,0.79156,1.21851,0.75147,0.51777,0.54638,0.36229,0.73282,5.18699,0.95678,0.00999521,0.00999521,0.00999521
9,8267,0.57275,0.77494,1.21356,0.75072,0.55292,0.56829,0.37562,0.71595,3.69237,0.9448,0.00999375,0.00999375,0.00999375
10,9178.19,0.57099,0.7687,1.21057,0.75824,0.55817,0.57629,0.38864,0.70126,3.69764,0.93398,0.00999209,0.00999209,0.00999209
11,961.52,0.56402,0.75807,1.205,0.77393,0.55682,0.58987,0.40453,0.6922,2.93564,0.92027,0.00999023,0.00999023,0.00999023
12,1896.63,0.56517,0.75658,1.20421,0.78039,0.56178,0.59701,0.40645,0.70438,2.67329,0.92842,0.00998818,0.00998818,0.00998818
13,2841.98,0.56125,0.74846,1.20073,0.77369,0.58423,0.60022,0.40866,0.68944,2.57036,0.91127,0.00998594,0.00998594,0.00998594
14,3782.58,0.55937,0.74508,1.199,0.77694,0.59212,0.60882,0.41751,0.68712,2.68631,0.90937,0.0099835,0.0099835,0.0099835
15,4739.39,0.5577,0.73919,1.19656,0.77052,0.59223,0.61145,0.41989,0.68334,2.94868,0.9052,0.00998086,0.00998086,0.00998086
16,5688.68,0.5552,0.73415,1.19414,0.7794,0.59315,0.61567,0.42157,0.68408,2.80557,0.90399,0.00997803,0.00997803,0.00997803
17,6624.77,0.55245,0.73194,1.19243,0.78053,0.59327,0.61525,0.4233,0.68149,2.70233,0.90101,0.00997501,0.00997501,0.00997501
18,7571.68,0.55328,0.73131,1.19335,0.78094,0.59579,0.61687,0.42532,0.67886,2.64234,0.8981,0.00997179,0.00997179,0.00997179
19,8530.69,0.54844,0.72409,1.1898,0.78334,0.59891,0.61944,0.4267,0.67723,2.58308,0.89679,0.00996838,0.00996838,0.00996838
20,9486.26,0.54973,0.72351,1.18997,0.78525,0.59819,0.62007,0.42832,0.6773,2.47874,0.89654,0.00996477,0.00996477,0.00996477
21,10444.7,0.54756,0.72218,1.18723,0.78396,0.59992,0.62011,0.43009,0.67565,2.34595,0.89539,0.00996097,0.00996097,0.00996097
22,11402.2,0.54878,0.71997,1.18894,0.78306,0.60178,0.61994,0.43111,0.6745,2.21987,0.89431,0.00995697,0.00995697,0.00995697
